Категория,Вуз,Адрес,e-mail,Телефон,Сайт
Авиационные,Московский государственный технический университет им. Н.Э. Баумана,"105005, Москва, 2-я Бауманская ул., д. 5, стр. 1",bauman@bmstu.ru,499 263-63-91,http://www.bmstu.ru/
Авиационные,Иркутский национальный исследовательский технический университет,"г. Иркутск (Иркутская обл.), ул. Лермонтова, д. 83",cpk@istu.edu,8 800 100 5405 (приемная комиссия),http://www.istu.edu
Авиационные,Московский авиационный институт НИУ,"г. Москва, Волоколамское шоссе, д. 4",priem@mai.ru,"+7 499 158-43-00, +7 499 158-40-65",http://www.mai.ru
Авиационные,Академия гражданской защиты МЧС России,"Московская обл, г. Химки микрн. Новогорск",agz_priemcom@mail.ru,(498) 699-04-07,http://www.amchs.ru/
Авиационные,Московский государственный технический университет гражданской авиации,"г. Москва, Кронштадтский б-р, д. 20",info@mstuca.aero,(499) 458-75-47,http://www.mstuca.ru
Авиационные,Военная академия ракетных войск стратегического назначения им. Петра Великого,"г. Балашиха (Московская обл., Балашихинский р-н), ул. Карбышева, д.8",varvsn@mil.ru,"(495) 524-07-63, 524-02-70, доб. 10-40",http://varvsn.mil.ru
Авиационные,Балтийский государственный технический университет «ВОЕНМЕХ» имени Д. Ф. Устинова,"г. Санкт-Петербург, ул. 1-я Красноармейская, д. 1","admission@voenmeh.ru (Приемная комиссия) ,  acoms@bstu.spb.su","(812) 495-77-99 (приемная комиссия), (812) 495-77-59 (курсы)",https://priem.voenmeh.ru/
Авиационные,Технологический университет,"г. Королев (Московская обл.), ул. Гагарина, д. 42",fta@fta-mo.ru,"(495) 516-99-46, (916) 701-88-80, 701-99-90",http://unitech-mo.ru
Авиационные,"Санкт-Петербургский национальный исследовательский университет информационных технологий, механики и оптики","Санкт-Петербург, Кронверкский пр., д. 49",abit@cde.ifmo.ru,+7 (812) 232-97-04; (812) 457-18-58,http://www.ifmo.ru/
Авиационные,Военно-космическая академия имени А. Ф. Можайского,"г. Санкт-Петербург, ул. Ждановская, д. 13",vka@mil.ru,"(812) 347-96-59, 347-97-70 (приемная комиссия), 230-28-15",https://vka.mil.ru/
Авиационные,Санкт-Петербургский государственный университет гражданской авиации,"Cанкт-Петербург, ул. Пилотов, 38",info@spbguga.ru,(812) 704-18-18,http://spbguga.ru/
Авиационные,Государственный университет «Дубна»,"г. Дубна (Московская обл.), ул. Университетская, д. 19",dovus@uni-dubna.ru,(496) 216-27-27,http://www.uni-dubna.ru
Авиационные,Новосибирский государственный технический университет,"г. Новосибирск (Новосибирская обл.), пр-т Карла Маркса, д. 20",pk@nstu.ru,"(383) 346-02-31, 346-35-75, 346-07-09, 315-39-56",http://nstu.ru
