;Вуз;Адрес;e-mail;Телефон;Сайт;Категории;Url;Url_With_Coordinates;lat;long
0;АНО ВО Университет при Межпарламентской Ассамлее Евразийского экономического сообщества;"г. Санкт-Петербург, ул. Смолячкова, д.14 1; ул. Смолячкова, д.16 1(ПК)";miep.priem@mail.ru;+7 (812) 542-86-88, +7 (812) 541-80-00;http://www.miep.edu.ru/;Вузы культуры,Гуманитарные,Дизайна,Информационные,Экономические,Педагогические,Сервиса,Психологические,Юридические;"https://www.google.com/maps/search/г. Санкт-Петербург, ул. Смолячкова, д.14 1; ул. Смолячкова, д.16 1(ПК)";https://maps.google.com/maps/api/staticmap?center=59.97136255%2C30.34519135&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=dykUMPdxE98Ljlgl3dIYyHpQ8Wo;59.97136255;30.34519135
1;Академия акварели и изящных искусств Сергея Андрияки;г. Москва, ул. Академика Варги, д. 15;academiya@andriaka.ru;(495) 531-55-55;http://www.andriaka.ru;Вузы культуры;https://www.google.com/maps/search/г. Москва, ул. Академика Варги, д. 15;https://maps.google.com/maps/api/staticmap?center=55.634167%2C37.4816131&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=wZsmN9whlZHvI1uJN7VQpkt782w;55.634167;37.4816131
2;Академия государственной противопожарной службы Министерства Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий;г. Москва, ул. Бориса Галушкина, д. 4;info@academygps.ru;(495) 617-26-21, 617-27-10;http://academygps.ru;Биологические,Информационные,МЧС;https://www.google.com/maps/search/г. Москва, ул. Бориса Галушкина, д. 4;https://maps.google.com/maps/api/staticmap?center=55.8251857%2C37.6506792&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=Pz-a-EjWqDAFHEZQXhHCvJCxkLE;55.8251857;37.6506792
3;Академия гражданской защиты МЧС России;Московская обл, г. Химки микрн. Новогорск;agz_priemcom@mail.ru;(498) 699-04-07;http://www.amchs.ru/;Авиационные,Биологические,Гуманитарные,Информационные,Экономические,МЧС,Педагогические,Транспортные,Юридические;https://www.google.com/maps/search/Московская обл, г. Химки микрн. Новогорск;https://maps.google.com/maps/api/staticmap?center=55.892331%2C37.3405367&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=mvKSWByHPFLNWX0NvCXeY7Eb0_c;55.892331;37.3405367
4;Академия маркетинга и социально-информационных технологий;г. Краснодар, ул. Зиповская, 5;info-imsit@mail.ru;(861) 278-22-70;http://www.imsit.ru/;Гуманитарные,Дизайна,Информационные,Географические,Экономические,Педагогические,Сервиса,Психологические;https://www.google.com/maps/search/г. Краснодар, ул. Зиповская, 5;https://maps.google.com/maps/api/staticmap?center=45.0618358%2C38.9882758&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=UhuWsaVghWMwALaasA5Cjh0ps90;45.0618358;38.9882758
5;Академия права и управления Федеральной службы исполнения наказаний;г. Рязань (Рязанская обл.), Сенная ул., д. 1;priem-apu@mail.ru;(4912) 93-82-54;http://www.apu.fsin.gov.ru/;Гуманитарные,Экономические,Педагогические,Психологические,Юридические;https://www.google.com/maps/search/г. Рязань (Рязанская обл.), Сенная ул., д. 1;https://maps.google.com/maps/api/staticmap?center=54.6299937%2C39.7329738&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=8qOT9CrkYaCcbiln8ardplQ5lFA;54.6299937;39.7329738
6;Академия русского балета им. А. Я. Вагановой;г. Санкт-Петербург, ул. Зодчего Росси, дом 2;info@vaganovaacademy.ru;+7 (812) 456-07-65;http://www.vaganovaacademy.ru/;Вузы культуры;https://www.google.com/maps/search/г. Санкт-Петербург, ул. Зодчего Росси, дом 2;https://maps.google.com/maps/api/staticmap?center=59.9302305%2C30.3358378&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=LZCnhpfhbmRIxUYyZR1tuLVYyf0;59.9302305;30.3358378
7;Академия социального образования;Казань, улица Городская, дом 13 улица Исаева, дом 12;aso-ksui@mail.ru;(843) 555-61-77;http://www.aso-ksui.ru/;Гуманитарные,Педагогические,Психологические,Юридические;https://www.google.com/maps/search/Казань, улица Городская, дом 13 улица Исаева, дом 12;https://maps.google.com/maps/api/staticmap?center=55.8349118%2C49.0676994&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=Kz7_6GkpiCDBnEYR56aFp9zr19M;55.8349118;49.0676994
8;Академия социального управления;129344, Российская Федерация, г. Москва, ул. Енисейская, д.3, корп.5;asou-priem@mail.ru;88007007730;http://asou-mo.ru/;Гуманитарные,Педагогические,Сервиса;https://www.google.com/maps/search/129344, Российская Федерация, г. Москва, ул. Енисейская, д.3, корп.5;https://maps.google.com/maps/api/staticmap?center=55.85918%2C37.65501&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=r2MgMN9QqxweVX3qfuxjZ8YlAa8;55.85918;37.65501
9;Академия труда и социальных отношений;г. Москва, Лобачевского ул., д. 90;reception@atiso.ru;(495) 437-21-06, (499) 739-62-56;http://www.atiso.ru/;Гуманитарные,Экономические,Сервиса,Психологические,Юридические;https://www.google.com/maps/search/г. Москва, Лобачевского ул., д. 90;https://maps.google.com/maps/api/staticmap?center=55.675935%2C37.486647&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=WTdxKOcbC-HWlX0U_L1y7ijW_hY;55.675935;37.486647
