;Регион;Город;Вуз;Номер;Сайт;Почта;Студенты;Средний балл;Общая информация
0;Москва;Москва;Московский технический университет связи и информатики;+74959577917;http://www.mtuci.ru;mtuci@mtuci.ru;5259;73.03;Ордена Трудового Красного Знамени федеральное государственное бюджетное образовательное учреждение высшего образования «Московский технический университет связи и информатики»
1;Москва;Москва;Национальный исследовательский технологический университет «МИСиС»;+74959550032;http://misis.ru;kancela@misis.ru;7635;83.2;Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский технологический университет «МИСиС»
2;Москва;Москва;Институт бизнеса и дизайна;+74956842530;http://www.obe.ru;inobe@obe.ru;471;;Автономная некоммерческая организация высшего образования «Институт бизнеса и дизайна»
3;Москва;Москва;Институт международных экономических связей;+74991120731;http://imes.su;info@imes.su;801;;Автономная некоммерческая организация высшего образования  «Институт международных экономических связей»
4;Москва;Москва;Российский новый университет;+74993212468;http://rosnou.ru;vopros@rosnou.ru;8228;77;Автономная некоммерческая организация высшего образования «Российский новый университет»
5;Москва;Москва;Московский гуманитарно-экономический университет;+74992375540;http://mgei.ru;demidovaee@mail.ru;4117;;Автономная некоммерческая организация высшего образования Московский гуманитарно-экономический университет
6;Москва;Москва;Московский финансово-промышленный университет «Синергия»;+74958000011;http://synergy.ru;feedback@synergy.ru;20869;;Негосударственное образовательное частное учреждение высшего образования «Московский финансово-промышленный университет «Синергия»
7;Москва;Москва;Международный институт экономики и права;+78007755858;http://miep.ru;info@miep.ru;1218;;Негосударственное образовательное учреждение высшего образования «Международный институт экономики и права»
8;Москва;Москва;Московский международный университет;+78003010930;http://https://mi.university/;info@mmu.ru;10481;;Автономная некоммерческая организация высшего образования «Московский международный университет»
9;Москва;Москва;Московский университет им. С.Ю. Витте;+74955000363;http://muiv.ru;info@muiv.ru;7601;70.15;Частное образовательное учреждение высшего образования «Московский университет имени С.Ю. Витте»
10;Москва;Москва;Московская академия предпринимательства;+74956859276;http://www.mosap.ru;info@mosap.ru;1275;;Негосударственное образовательное учреждение высшего профессионального образования Московская академия предпринимательства
11;Москва;Москва;Национальный исследовательский ядерный университет «МИФИ»;+74957885699;http://mephi.ru;info@mephi.ru;5586;92.28;Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский ядерный университет «МИФИ»
12;Москва;Москва;Московский государственный университет пищевых производств;+78005503602;http://www.mgupp.ru;mgupp@mgupp.ru;3913;68.39;Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет пищевых производств»
13;Москва;Москва;Московский политехнический университет;+74952230523;http://mospolytech.ru;mospolytech@mospolytech.ru;12544;72.06;Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский политехнический университет»
14;Москва;Москва;Православный Свято-Тихоновский гуманитарный университет;+74951145080;http://www.pstgu.ru;pstgu@pstgu.ru;1518;73.34;Образовательное частное учреждение высшего образования «Православный Свято-Тихоновский гуманитарный университет»
15;Москва;Москва;Государственный академический университет гуманитарных наук;+79265590026;http://gaugn.ru;priem@gaugn.ru;1963;82.93;Федеральное государственное бюджетное образовательное учреждение высшего образования «Государственный академический университет гуманитарных наук»
16;Москва;Москва;МИРЭА – Российский технологический университет;+74992156565;http://www.mirea.ru;pk@mirea.ru;24807;76.83;Федеральное государственное бюджетное образовательное учреждение высшего образования «МИРЭА - Российский технологический университет»
17;Москва;Москва;Институт законодательства и сравнительного правоведения при правительстве РФ;+74957197000;http://www.izak.ru;office@izak.ru;;;Федеральное государственное научно-исследовательское учреждение  «Институт законодательства и сравнительного правоведения при Правительстве  Российской Федерации»
18;Москва;Москва;Международная академия бизнеса и управления;+78003022632;http://www.mabiu.ru;priem@mabiu.ru;1133;;Автономная некоммерческая организация высшего образования «Международная академия бизнеса и управления»
