Column1;Регион;Город;Вуз;Номер;Сайт;Почта;Студенты;Средний балл;Общая информация;Адрес;Url;Url_With_Coordinates;lat;long
0;Москва;Москва;Московский технический университет связи и информатики;74959577917;http://www.mtuci.ru;mtuci@mtuci.ru;5259;73.03;Ордена Трудового Красного Знамени федеральное государственное бюджетное образовательное учреждение высшего образования «Московский технический университет связи и информатики»;Москва Москва Московский технический университет связи и информатики;https://www.google.com/maps/search/Москва Москва Московский технический университет связи и информатики;https://maps.google.com/maps/api/staticmap?center=55.76980475%2C37.59710305&zoom=10&size=200x200&markers=55.7841475%2C37.4823427%7C55.755462%2C37.7118634&sensor=false&client=google-maps-frontend&signature=Z2eveemzzFlVU0hCYfBxa2FMunc;55.76980475;37.59710305
1;Москва;Москва;Национальный исследовательский технологический университет «МИСиС»;74959550032;http://misis.ru;kancela@misis.ru;7635;83.2;Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский технологический университет «МИСиС»;Москва Москва Национальный исследовательский технологический университет «МИСиС»;https://www.google.com/maps/search/Москва Москва Национальный исследовательский технологический университет «МИСиС»;https://maps.google.com/maps/api/staticmap?center=55.7284221%2C37.6090764&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=87weMi_xrwuDwmVRoHxpjkNKFWA;55.7284221;37.6090764
2;Москва;Москва;Институт бизнеса и дизайна;74956842530;http://www.obe.ru;inobe@obe.ru;471;;Автономная некоммерческая организация высшего образования «Институт бизнеса и дизайна»;Москва Москва Институт бизнеса и дизайна;https://www.google.com/maps/search/Москва Москва Институт бизнеса и дизайна;https://maps.google.com/maps/api/staticmap?center=55.7805553%2C37.6378071&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=ehUCfGikCaIMkAkqA9MvQHm5jdQ;55.7805553;37.6378071
3;Москва;Москва;Институт международных экономических связей;74991120731;http://imes.su;info@imes.su;801;;Автономная некоммерческая организация высшего образования  «Институт международных экономических связей»;Москва Москва Институт международных экономических связей;https://www.google.com/maps/search/Москва Москва Институт международных экономических связей;https://maps.google.com/maps/api/staticmap?center=55.712041%2C37.5109049&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=SCmcGBj3qzQYNP7bS8aGzdCi-CM;55.712041;37.5109049
4;Москва;Москва;Российский новый университет;74993212468;http://rosnou.ru;vopros@rosnou.ru;8228;77;Автономная некоммерческая организация высшего образования «Российский новый университет»;Москва Москва Российский новый университет;https://www.google.com/maps/search/Москва Москва Российский новый университет;https://maps.google.com/maps/api/staticmap?center=55.75979315%2C37.6147912&zoom=10&size=200x200&markers=55.7623899%2C37.6813441%7C55.741891%2C37.72659%7C55.7776953%2C37.5029924&sensor=false&client=google-maps-frontend&signature=o3uoaMwRFbRrgL7G2G9rLQASefM;55.75979315;37.6147912
5;Москва;Москва;Московский гуманитарно-экономический университет;74992375540;http://mgei.ru;demidovaee@mail.ru;4117;;Автономная некоммерческая организация высшего образования Московский гуманитарно-экономический университет;Москва Москва Московский гуманитарно-экономический университет;https://www.google.com/maps/search/Москва Москва Московский гуманитарно-экономический университет;https://maps.google.com/maps/api/staticmap?center=55.73356165%2C37.5058767&zoom=10&size=200x200&markers=55.7405043%2C37.4086545%7C55.726619%2C37.6030989&sensor=false&client=google-maps-frontend&signature=2qH4MPo-StzS1pxerhI9la_VwIA;55.73356165;37.5058767
6;Москва;Москва;Московский финансово-промышленный университет «Синергия»;74958000011;http://synergy.ru;feedback@synergy.ru;20869;;Негосударственное образовательное частное учреждение высшего образования «Московский финансово-промышленный университет «Синергия»;Москва Москва Московский финансово-промышленный университет «Синергия»;https://www.google.com/maps/search/Москва Москва Московский финансово-промышленный университет «Синергия»;https://maps.google.com/maps/api/staticmap?center=55.8109337%2C37.5104015&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=4U1J0LLybLoIGOx7HHU4Wnmw9ao;55.8109337;37.5104015
7;Москва;Москва;Международный институт экономики и права;78007755858;http://miep.ru;info@miep.ru;1218;;Негосударственное образовательное учреждение высшего образования «Международный институт экономики и права»;Москва Москва Международный институт экономики и права;https://www.google.com/maps/search/Москва Москва Международный институт экономики и права;https://maps.google.com/maps/api/staticmap?center=55.776638%2C37.6997909&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=2XlkFz-SHex8gKgfNvuXEBj5DPY;55.776638;37.6997909
8;Москва;Москва;Московский международный университет;78003010930;http://https://mi.university/;info@mmu.ru;10481;;Автономная некоммерческая организация высшего образования «Московский международный университет»;Москва Москва Московский международный университет;https://www.google.com/maps/search/Москва Москва Московский международный университет;https://maps.google.com/maps/api/staticmap?center=55.782115%2C37.570885&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=hnPxVgNpEN1Wsrta1GRXgmRlLDM;55.782115;37.570885
9;Москва;Москва;Московский университет им. С.Ю. Витте;74955000363;http://muiv.ru;info@muiv.ru;7601;70.15;Частное образовательное учреждение высшего образования «Московский университет имени С.Ю. Витте»;Москва Москва Московский университет им. С.Ю. Витте;https://www.google.com/maps/search/Москва Москва Московский университет им. С.Ю. Витте;https://maps.google.com/maps/api/staticmap?center=55.700466%2C37.6548241&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=bpGvih36Vd81kS82CxldETTM60c;55.700466;37.6548241
