Страна;Федеральный округ;Регион;Количество школ;Количество учащихся;employees;studentsperemployee
Российская Федерация;Южный федеральный округ;Адыгея;148;52449;6521;8.04
Российская Федерация;Сибирский федеральный округ;Республика Алтай;146;37383;7052;5.3
Российская Федерация;Сибирский федеральный округ;Алтайский край;689;269885;36243;7.45
Российская Федерация;Дальневосточный федеральный округ;Амурская область;299;99254;13836;7.17
Российская Федерация;Северо-Западный федеральный округ;Архангельская область;341;127422;22931;5.56
Российская Федерация;Южный федеральный округ;Астраханская область;270;118828;16580;7.17
Российская Федерация;Приволжский федеральный округ;Башкортостан;1309;476840;51002;9.35
Российская Федерация;Центральный федеральный округ;Белгородская область;547;158905;24417;6.51
Российская Федерация;Центральный федеральный округ;Брянская область;480;128364;16655;7.71
Российская Федерация;Сибирский федеральный округ;Бурятия;468;141354;14106;10.02
Российская Федерация;Центральный федеральный округ;Владимирская область;364;141547;14849;9.53
Российская Федерация;Южный федеральный округ;Волгоградская область;756;252287;30825;8.18
Российская Федерация;Северо-Западный федеральный округ;Вологодская область;349;134666;14418;9.34
Российская Федерация;Центральный федеральный округ;Воронежская область;760;224431;30178;7.44
Российская Федерация;Северо-Кавказский федеральный округ;Дагестан;1446;401679;70561;5.69
Российская Федерация;Дальневосточный федеральный округ;Еврейская автономная область;67;20688;2937;7.04
Российская Федерация;Сибирский федеральный округ;Забайкальский край;555;145358;23176;6.27
Российская Федерация;Центральный федеральный округ;Ивановская область;268;98838;10411;9.49
Российская Федерация;Северо-Кавказский федеральный округ;Ингушетия;126;73187;10834;6.76
Российская Федерация;Сибирский федеральный округ;Иркутская область;880;319659;45899;6.96
Российская Федерация;Северо-Кавказский федеральный округ;Кабардино-Балкария;266;103623;20403;5.08
Российская Федерация;Северо-Западный федеральный округ;Калининградская область;176;108600;10483;10.36
Российская Федерация;Южный федеральный округ;Калмыкия;162;33813;6725;5.03
Российская Федерация;Центральный федеральный округ;Калужская область;337;106601;12876;8.28
Российская Федерация;Дальневосточный федеральный округ;Камчатский край;120;36371;6472;5.62
Российская Федерация;Северо-Кавказский федеральный округ;Карачаево-Черкесия;175;51963;8271;6.28
Российская Федерация;Северо-Западный федеральный округ;Республика Карелия;205;70132;10254;6.84
Российская Федерация;Сибирский федеральный округ;Кемеровская область;669;312345;29367;10.54
